isin,name,onvista,finanzen.net
DE0008469008,DAX,DAX,dax
DE0008467416,MDAX,MDAX,mdax
DE0007203275,TecDAX,TecDAX,tecdax
DE0009653386,SDAX,SDAX,sdax
EU0009658145,Stoxx Europe 50,EURO-STOXX-50,stoxx_europe_50
EU0009658202,Stoxx Europe 600,EURO-STOXX-600,stoxx_europe_600
FR0003500008,CAC 40,CAC-40,cac_40
AT0000999982,ATX,ATX,atx
CH0009980894,SMI,SMI,smi
US2605661048,Dow-Jones,Dow-Jones,dow-jones
US6311011026,NASDAQ,NASDAQ,nasdaq
US78378X1072,S&P 500,S-P-500,s&p_500
JP9010C00002,Nikkei,Nikkei,nikkei_225
HK0000004322,Hang Seng,Hang-Seng,hang_seng
XC0009695252,S&P-TSX-Composite,,
NL0000000107,AEX,,
NO0000000021,OBX,,
AT0000999677,PTX,,
RU000A0JPEB3,RTS,,
SE0000337842,OMXS-30,,
ES0SI0000005,IBEX-35,,